Id,SalePrice
1461,106300.2327
1462,166875.8722
1463,168906.067
1464,185013.995
1465,223612.932
1466,165562.3044
1467,178789.4516
1468,157375.819
1469,194500.8365
1470,119429.0531
1471,177518.4612
1472,97205.73047
1473,92863.74884
1474,146026.254
1475,110521.6565
1476,369510.4973
1477,282080.2085
1478,301618.55
1479,304063.2733
1480,430033.7665
1481,310590.5124
1482,219324.466
1483,177345.5943
1484,160214.8187
1485,197095.3394
1486,199036.8418
1487,337912.7029
1488,235672.5734
1489,216643.1913
1490,251433.8833
1491,209829.8756
1492,79413.02154
1493,202148.1221
1494,317939.3331
1495,301754.7364
1496,245783.7024
1497,169449.0507
1498,180407.9314
1499,153276.8557
1500,148564.9779
1501,187397.5432
1502,148182.6368
1503,268591.2968
1504,244980.8195
1505,232387.8825
1506,182425.4199
1507,248000.3605
1508,190020.8931
1509,153071.5359
1510,142761.4158
1511,163983.9743
1512,183991.7887
1513,144770.0388
1514,165070.6666
1515,206299.2657
1516,148821.8475
1517,162509.6669
1518,111162.5485
1519,212289.4147
1520,129924.4334
1521,127285.2686
1522,190658.798
1523,100388.0853
1524,130304.5237
1525,115099.4441
1526,118812.0395
1527,102907.6707
1528,134242.9562
1529,154703.5535
1530,202704.3425
1531,127867.8731
1532,99203.11364
1533,156095.8352
1534,133500.7123
1535,144089.3287
1536,89211.73879
1537,46265.35748
1538,150854.1993
1539,216833.7882
1540,133957.5699
1541,133514.5026
1542,134207.8085
1543,172784.0707
1544,84130.42224
1545,123156.4003
1546,146711.7707
1547,138429.3805
1548,147024.4139
1549,124632.4124
1550,143045.3028
1551,112965.5205
1552,151665.6368
1553,164993.1192
1554,117124.7686
1555,151405.2094
1556,83648.45119
1557,134534.6885
1558,91910.13713
1559,87793.50487
1560,129054.7765
1561,144961.0983
1562,138124.1415
1563,116752.5115
1564,167347.1991
1565,145260.4543
1566,211561.5934
1567,69267.09176
1568,228415.1847
1569,124953.5155
1570,144351.7827
1571,98978.70891
1572,141648.6853
1573,209064.1172
1574,124099.9372
1575,220440.0161
1576,257519.0794
1577,152617.938
1578,153860.7237
1579,135002.237
1580,181757.3741
1581,165632.458
1582,138645.6283
1583,272947.7221
1584,223467.8892
1585,151429.4759
1586,40093.6345
1587,108373.727
1588,145206.1744
1589,103290.9753
1590,125579.431
1591,94765.28093
1592,101717.9955
1593,134097.2943
1594,158532.2716
1595,105549.0167
1596,237164.1948
1597,192985.5417
1598,216282.158
1599,181245.08
1600,173360.268
1601,54800.55864
1602,131505.9151
1603,66245.60083
1604,248728.1183
1605,237226.7506
1606,151003.4945
1607,174910.5442
1608,209114.2518
1609,196941.4011
1610,151206.5206
1611,129278.7182
1612,177596.759
1613,159984.8166
1614,101426.798
1615,71771.04096
1616,59559.96272
1617,70519.08636
1618,125739.989
1619,163915.3549
1620,148587.9439
1621,132564.7312
1622,149953.6423
1623,254458.4961
1624,210577.4095
1625,119654.3903
1626,175713.8553
1627,180972.2642
1628,272100.6756
1629,173494.0095
1630,348720.2188
1631,245028.4269
1632,248323.7469
1633,180047.0982
1634,184290.1973
1635,178246.6849
1636,157373.4704
1637,190972.4365
1638,194931.3969
1639,176947.1628
1640,252869.4704
1641,178916.4576
1642,255010.2167
1643,229631.3181
1644,237028.9806
1645,234049.1661
1646,163734.1747
1647,156424.7729
1648,116526.0124
1649,144171.4551
1650,115708.8224
1651,118491.0075
1652,100614.0664
1653,106614.9728
1654,150943.9496
1655,136644.9345
1656,136822.358
1657,155360.4845
1658,154898.1676
1659,122754.1609
1660,153009.4692
1661,394539.6579
1662,356537.0525
1663,372910.2023
1664,424957.7713
1665,323457.0217
1666,302037.8394
1667,376355.2376
1668,350521.2791
1669,325041.0937
1670,353609.5403
1671,289936.1792
1672,392420.0323
1673,306621.3237
1674,265754.3779
1675,222111.5722
1676,212509.4735
1677,226993.4841
1678,419902.3455
1679,364583.6144
1680,333041.2586
1681,273385.1906
1682,319338.5712
1683,205999.7305
1684,172381.0299
1685,190153.7401
1686,164267.5398
1687,185911.4177
1688,195673.8034
1689,200246.347
1690,203235.3455
1691,193206.0092
1692,255971.9748
1693,173279.9436
1694,177243.3118
1695,165209.2736
1696,275147.6273
1697,166449.9813
1698,348657.6993
1699,357542.2476
1700,285966.9386
1701,291942.5941
1702,234137.9996
1703,237190.343
1704,281661.8723
1705,260725.3102
1706,370630.0637
1707,239091.7431
1708,214455.8603
1709,263405.6225
1710,221207.4641
1711,273130.7394
1712,273283.1236
1713,279446.7963
1714,233961.2914
1715,216086.5381
1716,183405.6493
1717,181304.0126
1718,150171.9113
1719,211521.0024
1720,240905.3416
1721,159116.5893
1722,121142.4028
1723,146771.1873
1724,221732.1054
1725,246566.4923
1726,191672.0836
1727,138515.2451
1728,172278.7614
1729,174049.5492
1730,173544.417
1731,131480.6963
1732,114292.8922
1733,109636.5921
1734,102614.6376
1735,120394.0815
1736,102007.2528
1737,266084.0986
1738,281249.5202
1739,250460.4428
1740,213958.5495
1741,188927.3055
1742,177927.3839
1743,191037.6358
1744,306654.7302
1745,222447.5195
1746,181356.6587
1747,211448.6365
1748,214734.4925
1749,138384.7315
1750,127563.629
1751,249122.4919
1752,106120.2863
1753,145641.1975
1754,194032.7448
1755,161649.442
1756,146537.7764
1757,116168.0835
1758,152896.8846
1759,169445.9545
1760,171084.2979
1761,150945.0436
1762,178502.6058
1763,182769.7341
1764,106816.1063
1765,168505.1507
1766,195406.4407
1767,227626.6969
1768,146636.5165
1769,169242.1541
1770,164343.3441
1771,126413.8296
1772,140739.7101
1773,122714.2127
1774,148172.8241
1775,154878.9246
1776,142050.6824
1777,121222.023
1778,153164.1871
1779,142988.5054
1780,166510.4217
1781,122307.0338
1782,65049.72524
1783,137138.4816
1784,109403.8803
1785,135382.5009
1786,153179.9329
1787,156119.4911
1788,66876.36184
1789,99581.74
1790,46748.78186
1791,183983.0645
1792,159483.0466
1793,138000.9067
1794,176388.0562
1795,132176.94
1796,159376.6837
1797,124362.7404
1798,128130.2924
1799,107018.831
1800,147786.9845
1801,104824.3763
1802,127140.272
1803,156382.331
1804,154693.8353
1805,137236.2795
1806,136131.5721
1807,155618.9197
1808,135308.5317
1809,130069.7675
1810,145948.899
1811,121370.1953
1812,115281.918
1813,119997.6184
1814,99323.79447
1815,37334.66974
1816,113978.4099
1817,126473.7018
1818,164465.3339
1819,139090.4463
1820,62998.74034
1821,125076.7234
1822,158080.061
1823,57633.9769
1824,143864.0646
1825,131715.4865
1826,112876.0205
1827,95500.23246
1828,143197.4675
1829,156406.4798
1830,142438.3893
1831,146894.0385
1832,72050.31127
1833,155789.5475
1834,98740.65628
1835,102540.1972
1836,127287.8089
1837,103112.8747
1838,112177.5668
1839,122775.5045
1840,149624.3701
1841,114457.0182
1842,77908.2403
1843,118289.2759
1844,150408.051
1845,143227.398
1846,151816.5535
1847,173552.7601
1848,48981.53644
1849,134127.1021
1850,105635.0862
1851,132900.5645
1852,119740.5633
1853,113596.6254
1854,154894.719
1855,173682.3444
1856,222073.7196
1857,131537.7372
1858,137194.908
1859,115926.3395
1860,146816.4257
1861,114856.0358
1862,288532.1542
1863,272369.4379
1864,272385.1738
1865,311894.5222
1866,308118.0946
1867,223792.0075
1868,274629.9875
1869,213773.5252
1870,227484.5692
1871,235934.2107
1872,188325.9419
1873,246187.1876
1874,125983.1751
1875,162781.6525
1876,187848.0504
1877,209279.2485
1878,197035.9999
1879,147607.391
1880,135762.9459
